Patient,File,Variance_Reduction_Percent,Raw_Variance,Clean_Variance
chb01,chb01_01.edf,87.11541328390835,5.1504488744652064e-09,6.636140514984356e-10
chb01,chb01_02.edf,87.80883454428928,2.8211391684003674e-09,3.439297437555501e-10
chb01,chb01_03.edf,78.00908180980569,1.6576492674211702e-09,3.6453229427894477e-10
chb01,chb01_04.edf,83.17989461862383,1.3608104389616138e-09,2.2888974987411096e-10
chb01,chb01_05.edf,91.15218902411597,6.050473279899954e-09,5.353344389519189e-10
chb01,chb01_06.edf,92.23780991556771,7.027081096453028e-09,5.454553920938923e-10
chb01,chb01_07.edf,89.63444757460546,5.744549244834928e-09,5.95454263575971e-10
chb01,chb01_08.edf,94.43768509504864,3.2440758141082264e-09,1.8044571253606454e-10
chb01,chb01_09.edf,87.07667644861884,5.8010259314270376e-09,7.496853504178389e-10
chb01,chb01_10.edf,84.69325446009483,5.293855293562035e-09,8.103169590363399e-10
chb01,chb01_11.edf,96.94114896228082,4.824690023709231e-09,1.4758008085696332e-10
chb01,chb01_12.edf,97.02944798313412,5.119659205519662e-09,1.520821397862242e-10
chb01,chb01_13.edf,94.37868880354966,3.5441118748439646e-09,1.9922555763532978e-10
chb01,chb01_14.edf,88.44243465214363,2.3135628868838384e-09,2.67391542515352e-10
chb01,chb01_15.edf,91.13200200530936,1.8673168570033345e-09,1.6559362143357616e-10
chb01,chb01_16.edf,8.254447804513699,2.0242614207747803e-09,1.8571698183700186e-09
chb01,chb01_17.edf,9.272968380959268,1.8941309253538722e-09,1.7184887635518364e-09
chb01,chb01_18.edf,71.72534644925214,1.2185741175956397e-09,3.4454761000924997e-10
chb01,chb01_19.edf,79.1834549058271,8.152381988835085e-10,1.6970442729550854e-10
chb01,chb01_20.edf,90.64775236391161,8.807714102294097e-10,8.237192339252235e-11
chb01,chb01_21.edf,87.14387753941179,3.956040890512393e-09,5.085934614752171e-10
chb01,chb01_22.edf,99.07411152439212,7.748334309207447e-09,7.174093442052218e-11
chb01,chb01_23.edf,96.60866119904436,7.468966365661135e-09,2.5329795438899186e-10
chb01,chb01_24.edf,98.77718262316655,5.069406678097816e-09,6.19895857621349e-11
chb01,chb01_25.edf,97.67921217969547,5.1776441291174425e-09,1.2016213432727e-10
chb01,chb01_26.edf,23.685139712378167,3.13304317044731e-09,2.390977518277742e-09
chb01,chb01_27.edf,69.82462982394615,2.025665363876341e-08,6.112520220777939e-09
chb01,chb01_29.edf,43.049483722167594,1.150969942966417e-08,6.554833247220477e-09
chb01,chb01_30.edf,98.57199673138172,4.6024086512816055e-09,6.572254597547194e-11
chb01,chb01_31.edf,95.77746594295226,3.895776213815397e-09,1.6450047741472038e-10
chb01,chb01_32.edf,79.70199013931337,7.405512275684363e-09,1.5031716119527712e-09
chb01,chb01_33.edf,97.58176313028434,4.4442554704324384e-09,1.0747262437035172e-10
chb01,chb01_34.edf,91.87927958309359,2.9743450908279098e-09,2.415382490601157e-10
chb01,chb01_36.edf,8.382148644102305,1.5481487750492784e-09,1.4183806434927989e-09
chb01,chb01_37.edf,85.90609256007262,9.967550100549358e-10,1.404817285199815e-10
chb01,chb01_38.edf,74.1190739601449,2.143487752764854e-09,5.547544799664239e-10
chb01,chb01_39.edf,86.3569190553221,3.9739250064957804e-10,5.4216580531701556e-11
chb01,chb01_40.edf,90.9485820089918,4.836656980332342e-10,4.377860400811551e-11
chb01,chb01_41.edf,76.45743613480066,7.038413941864273e-10,1.6570230973604908e-10
chb01,chb01_42.edf,86.85565678181595,3.4498133390660023e-09,4.534553056735307e-10
chb01,chb01_43.edf,85.54875070985463,1.0282300234481429e-09,1.485920839646113e-10
chb01,chb01_46.edf,95.43977358749463,5.117652303922333e-09,2.333765320636563e-10
chb02,chb02_01.edf,23.770439989323332,4.19284620314329e-09,3.1961882125804925e-09
chb02,chb02_02.edf,15.42946759418744,9.000728966661631e-10,7.611964407509932e-10
chb02,chb02_03.edf,20.125191230612117,5.646437456826235e-09,4.510081120923044e-09
chb02,chb02_04.edf,17.99710088126115,1.9337180154809676e-09,1.5857048334757367e-09
chb02,chb02_05.edf,92.06844358004076,1.87553542127045e-09,1.4875915011438597e-10
chb02,chb02_06.edf,67.63410928998049,2.721636402420003e-09,8.80881863531365e-10
chb02,chb02_07.edf,70.04784055540445,2.141228426815346e-09,6.413441524727372e-10
chb02,chb02_08.edf,23.776143875148282,2.965031256441661e-09,2.260061158966975e-09
chb02,chb02_09.edf,18.24071915809855,1.9740652348399037e-09,1.6139815393550982e-09
chb02,chb02_10.edf,15.43067800171044,1.158582046984342e-09,9.798049819285626e-10
chb02,chb02_11.edf,13.790795918159017,7.963845147694525e-10,6.865567516137764e-10
chb02,chb02_12.edf,20.527414670677402,3.7087076475768057e-10,2.94740584983559e-10
chb02,chb02_13.edf,18.880687319022105,9.17002164857304e-10,7.438658534019328e-10
chb02,chb02_14.edf,76.88231474434654,8.928573999186937e-10,2.064079634950147e-10
chb02,chb02_15.edf,73.32725687966031,3.5061594213663697e-09,9.351888958506404e-10
chb02,chb02_16+.edf,42.31137319020547,1.9585730464994626e-08,1.1298738955922985e-08
chb02,chb02_16.edf,81.27027449862851,6.508266686177089e-09,1.2189804852181758e-09
chb02,chb02_17.edf,25.573009667334368,7.083867379184917e-09,5.272309289484812e-09
chb02,chb02_18.edf,28.62189216038814,4.900020732321522e-09,3.4975420824797945e-09
chb02,chb02_19.edf,77.47300262099444,4.984982730780404e-09,1.1229669291067817e-09
chb02,chb02_20.edf,25.523904817581123,4.6787233228390676e-09,3.484530435239655e-09
chb02,chb02_21.edf,71.6400427579928,2.1054949640964243e-09,5.971174715503606e-10
chb02,chb02_22.edf,79.93824704270301,2.90504634152604e-09,5.828032203319483e-10
chb02,chb02_23.edf,63.30013667348251,6.676265121673449e-09,2.4501801749701127e-09
